# TOI-4603b
# Reference: <a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>
# Transit duration reference: <a refstr=KHANDELWAL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230311841K/abstract target=ref>Khandelwal et al. 2023</a>
# Period: 7.2455997
# Mid-transit time: 3273.6806009998545
# Transit duration: 2.854
sector,time,phase,flux_raw,flux,flux_err
43,2476.742675657617,0.010709063630153752,54633.5859375,0.9996225038402426,0.000517052536100382
43,2476.74406468709,0.01077090385800999,54667.875,1.0002498613979478,0.000517097472788873
43,2476.7454537165645,0.01083773994302651,54672.38671875,1.0003323873722043,0.0005171091512339072
43,2476.746842746039,0.010900768828380807,54677.13671875,1.0004192731383288,0.0005172945193560458
43,2476.7482317754975,0.010962610484180124,54643.875,0.9998106642675215,0.0005170927936660988
43,2476.7496208049715,0.011029445575039777,54659.0546875,1.0000883804422824,0.000517139719561861
43,2476.7510098344296,0.011092474034748495,54593.4609375,0.998888197382763,0.0005170060458940565
43,2476.7523988638877,0.011154317110540681,54610.7109375,0.9992037937563883,0.0005170989330681877
43,2476.753787893347,0.011221151223334305,54564.484375,0.9983579692242346,0.0005166452404906213
43,2476.7551769228057,0.01128417923297555,54630.27734375,0.9995617487988447,0.0005170294949400116
43,2476.756565952265,0.011346023736901238,54692.5546875,1.0007012034688616,0.000517307029872241
43,2476.7579549817237,0.011412856855537994,54598.8203125,0.99898613589473,0.0005169883594710252
43,2476.7593440111677,0.011475884431178803,54722.58984375,1.0012507035009075,0.000517407547243465
43,2476.7607330406126,0.011537730361071918,54617.046875,0.9993195760011938,0.0005170555488259464
43,2476.762122070071,0.011604562487575059,54691.05078125,1.0006735896438141,0.0005172320177928377
43,2476.763511099516,0.011667589629524872,54676.4140625,1.0004057596286366,0.0005171465389229309
43,2476.7649001289465,0.01172943698738487,54648.23046875,0.9998900645885077,0.0005169977891537503
43,2476.766289158391,0.011796268119731142,54709.5859375,1.001012651655849,0.0005172420309119944
43,2476.7676781878345,0.011859294827751929,54644.64453125,0.9998244047534928,0.0005169949024008347
43,2476.769067217265,0.01192114361148414,54656.75390625,1.0000459438135343,0.000516945962227301
43,2476.7704562466943,0.011987973751744405,54621.70703125,0.9994046724684351,0.0005168832720652259
43,2476.771845276139,0.01205100001805258,54657.08203125,1.0000518989520624,0.0005171704040015992
43,2476.7732343055686,0.01211285023558341,54636.46875,0.9996747167907292,0.0005169479487220047
43,2476.7746233349835,0.012179679383900488,54657.9921875,1.0000685034223034,0.0005170717558895799
43,2476.776012364414,0.012242705216279636,54610.48046875,0.9991991649005205,0.0005168242435355572
43,2476.7774013938433,0.012304556859873106,54641.21875,0.9997615540322747,0.0005169090342331756
43,2476.778790423259,0.012371385032004594,54667.25,1.0002378193483166,0.0005170871084809129
43,2476.780179452674,0.012434410414673313,54631.9921875,0.9995926886182613,0.0005170735902395357
43,2476.781568482089,0.012496263484043786,54684.57421875,1.0005547492360993,0.0005172997545350609
43,2476.7829575115043,0.012563090664017857,54644.5546875,0.9998224941392306,0.0005171032288358344
43,2476.7843465409205,0.012626115613090792,54677.2421875,1.0004205477239756,0.0005173089775289731
43,2476.7857355703354,0.012687970108333481,54696.76953125,1.0007778120614221,0.0005171948470672014
43,2476.7871245997367,0.01275479629617394,54658.296875,1.0000738599296501,0.0005170370237591511
43,2476.788513629137,0.012817820811246439,54675.72265625,1.0003926723160097,0.0005172726804046572
43,2476.7899026585524,0.01287967673250416,54653.67578125,0.9999892600286248,0.000517104876147892
43,2476.791291687953,0.012946501928211005,54640.73046875,0.9997523775394311,0.0005169868370767067
43,2476.7926807173535,0.013009526001356663,54621.8046875,0.9994060714201468,0.0005170356125571052
43,2476.79406974674,0.013071383354675387,54668.69140625,1.0002639256499013,0.000517118832795131
43,2476.7954587761405,0.013138207560343285,54606.8515625,0.9991324281123404,0.0005168164252796828
43,2476.7968478055263,0.013201231199702736,54676.59765625,1.000408536457309,0.0005171494485383109
43,2476.7982368349267,0.013263089976941825,54665.53515625,1.0002061034903484,0.0005169946614260196
43,2476.7996258643125,0.013329913192380352,54702.7109375,1.000886278231458,0.0005172958921886788
43,2476.801014893699,0.013392936397929791,54677.4140625,1.0004234013098257,0.0005171780974219503
43,2476.802403923086,0.013454796601112505,54654.94140625,1.0000121986623989,0.0005170187386252907
43,2476.803792952458,0.013521618824536435,54616.20703125,0.9993034581305993,0.0005168473049782723
43,2476.8051819818447,0.013584641588111427,54758.1953125,1.0019013692809131,0.0005175185986981531
43,2476.806571011216,0.013646503223402745,54622.8046875,0.9994241258437578,0.0005168612392788865
43,2476.8079600406018,0.013713324456692516,54655.95703125,1.0000306843580433,0.000517012616137178
43,2476.809349069974,0.013776346786433694,54691.00390625,1.0006719067558514,0.0005171032697192332
43,2476.810738099345,0.01383820984366973,54664.37890625,1.0001847294435426,0.0005171359570054048
43,2476.8121271287164,0.01390503008877719,54613.1015625,0.9992464924765344,0.0005169564269450322
43,2476.813516158073,0.013968051976639131,54697.0625,1.000782686983463,0.0005173089932229365
43,2476.8149051874443,0.014029916465888562,54669.5546875,1.0002793570367707,0.0005171949326161516
43,2476.816294216802,0.01409673570467581,54684.296875,1.0005490680154379,0.0005173078164802587
43,2476.8176832461586,0.0141597571749614,54642.48828125,0.999784079198153,0.0005169774554389041
43,2476.8190722755307,0.01422162308798838,54646.56640625,0.9998586716885821,0.0005170368051196679
