# TOI-2109b
# Reference: <a refstr=WONG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..256W/abstract target=ref>Wong et al. 2021</a>
# Transit duration reference: <a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>
# Period: 0.67247414
# Mid-transit time: 2378.4593699998222
# Transit duration: 1.801
sector,time,phase,flux_raw,flux,flux_err
52,2718.8759736337493,0.07275564590560606,20076.009765625,1.0000662162450962,0.0009342187421256332
52,2718.8773625350364,0.0731225485982928,20088.279296875,1.0006790907651715,0.0009348747589577312
52,2718.8787514363235,0.07316304889939465,20080.443359375,1.0002904302942046,0.0009353984249240378
52,2718.8801403376106,0.07346809714340474,20099.5625,1.0012445153631377,0.0009349929592443915
52,2718.8815292388967,0.07354532837671861,20061.76171875,0.9993631759851348,0.0009357304070705467
52,2718.882918140184,0.07371824480938301,20050.517578125,0.9988047337139552,0.0009363732239772228
52,2718.884307041471,0.07385191251335792,20060.5625,0.9993067934682381,0.0009363784067110079
52,2718.8856959427585,0.07399505132947522,20085.861328125,1.0005687218233341,0.0009380081348804809
52,2718.887084844045,0.07408616196306814,20100.73828125,1.0013114922310287,0.0009383809292653473
52,2718.888473745797,0.07434848806469435,20084.330078125,1.0004958030189435,0.0009384881605271467
52,2718.889862647084,0.07438009512844351,20118.009765625,1.002175230809706,0.0009391068538420705
52,2718.8912515483717,0.07445375296756113,20064.380859375,0.999505394206634,0.0009387582075580162
52,2718.8926404496583,0.07482100327774455,20101.341796875,1.0013482814331005,0.0009407824538852691
52,2718.8940293509445,0.07518790666494278,20073.048828125,0.9999405462457253,0.0009403263475887876
52,2718.8954182522316,0.07522837511225412,20073.98046875,0.9999886350483642,0.0009405061743893281
52,2718.8968071530526,0.07553341920214678,20100.04296875,1.0012886240025272,0.0009415344861454577
52,2718.8981960543383,0.0756106538970542,20101.625,1.0013691146548211,0.000941444472397432
52,2718.899584955625,0.07578360010619392,20083.419921875,1.0004639025078372,0.0009418587998998693
52,2718.900973856912,0.07591723526520087,20078.166015625,1.0002038564088698,0.0009418726383614711
52,2718.9023627581996,0.07606037061837817,20063.259765625,0.9994629723101134,0.00094210805344276
52,2718.9037516594867,0.07615151795233882,20074.458984375,1.0000225470394477,0.0009423812856200236
52,2718.905140560773,0.07641384751690505,20091.662109375,1.0008812127395172,0.0009432355415687712
52,2718.9065294620596,0.0764454151112168,20055.998046875,0.9991062583158384,0.0009430188732264263
52,2718.9079183633467,0.0765191096485863,20103.626953125,1.0014806135571643,0.000944426413153776
52,2718.909307264634,0.07688636065193477,20100.826171875,1.0013427714223084,0.0009446699109004115
52,2718.9106961659204,0.07725326473223394,20117.125,1.002156396576888,0.0009449534114703877
52,2718.9120850667414,0.07729370132575476,20047.990234375,0.9987140502014776,0.0009447335139855606
52,2718.9134739680285,0.07759874195264328,20090.724609375,1.0008445935308465,0.0009449447077081889
52,2718.914862869316,0.07767597941809508,20096.802734375,1.0011490639733014,0.0009461433200414655
52,2718.9162517706022,0.07784895540165838,20069.1171875,0.9997715502140714,0.0009453615862789934
52,2718.917640671889,0.07798255870956773,20069.0703125,0.9997708937986974,0.0009454618967697478
52,2718.919029573176,0.07812569059903562,20082.10546875,1.0004219395194403,0.0009461575878646131
52,2718.920418473997,0.0782168739416095,20093.482421875,1.0009903812682588,0.000946376767242612
52,2718.921807375283,0.07847920696917986,20078.583984375,1.0002498702670422,0.0009467707803241176
52,2718.9231962765703,0.0785107357850393,20059.216796875,0.9992867377877054,0.0009475399260942466
52,2718.9245851778564,0.07858446563721581,20073.556640625,1.0000027825821867,0.0009477575886062227
52,2718.925974078678,0.07895171802676616,20045.7890625,0.9986211641552778,0.0009468912819933978
52,2718.927362979965,0.07931862210642417,20059.0546875,0.9992836957866719,0.0009477551653396964
52,2718.928751881252,0.0793590275392554,20061.845703125,0.9994244142281502,0.000948432719887937
52,2718.9301407825383,0.07966406401273177,20069.216796875,0.9997933000641817,0.0009482888385450606
52,2718.9315296833597,0.07974130493913595,20083.357421875,1.000499427172381,0.0009489500529905194
52,2718.932918584647,0.07991431069846931,20053.037109375,0.9989906273327105,0.0009487231252582755
52,2718.9343074859335,0.08004788146006424,20075.6171875,1.0001171879752242,0.000949349185493541
52,2718.9356963867544,0.08019101058110362,20094.03125,1.0010362115419056,0.0009496259561035665
52,2718.9370852880415,0.08028222993088019,20082.287109375,1.0004528266723964,0.0009499505225385497
52,2718.9384741893286,0.08054456711250388,20068.486328125,0.9997669826200487,0.0009496186930681925
52,2718.93986309015,0.0805760564581565,20065.630859375,0.9996264081018811,0.0009500536738099366
52,2718.941251991437,0.08064982232029272,20088.53515625,1.0007691311756448,0.0009506694793594493
52,2718.9426408927234,0.08101707540236695,20080.04296875,1.00034774776711,0.0009504670670870585
52,2718.944029793544,0.081383980172433,20092.4140625,1.000965731807119,0.0009509546927847566
52,2718.9454186948306,0.08142435375205076,20075.740234375,1.0001367529039598,0.0009505645195482633
52,2718.946807596117,0.0817293860714738,20062.6640625,0.9994870001886743,0.0009505380845807052
52,2718.948196496938,0.08180663045953565,20087.50390625,1.0007261583599543,0.0009517952875142945
52,2718.9495853982253,0.08197966599598551,20054.05078125,0.9990612567088654,0.0009513595986131387
52,2718.9509742990467,0.08211320421126606,20080.255859375,1.000368432269493,0.0009520253947800162
52,2718.9523632003334,0.08225632987064775,20080.79296875,1.0003968701092611,0.0009524902228653909
